loan_amnt,term,int_rate,installment,emp_length,annual_inc,dti,delinq_2yrs,fico_range_low,fico_range_high,revol_bal,acc_now_delinq,acc_open_past_24mths,delinq_amnt,pct_tl_nvr_dlq,pub_rec_bankruptcies,hardship_flag,disbursement_method,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,loan_status_Charged Off,loan_status_Current,loan_status_Does not meet the credit policy. Status:Charged Off,loan_status_Does not meet the credit policy. Status:Fully Paid,loan_status_Fully Paid,loan_status_In Grace Period,loan_status_Late (16-30 days),loan_status_Late (31-120 days),purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding,addr_state_AK,addr_state_AL,addr_state_AR,addr_state_AZ,addr_state_CA,addr_state_CO,addr_state_CT,addr_state_DC,addr_state_DE,addr_state_FL,addr_state_GA,addr_state_HI,addr_state_ID,addr_state_IL,addr_state_IN,addr_state_KS,addr_state_KY,addr_state_LA,addr_state_MA,addr_state_MD,addr_state_ME,addr_state_MI,addr_state_MN,addr_state_MO,addr_state_MS,addr_state_MT,addr_state_NC,addr_state_ND,addr_state_NE,addr_state_NH,addr_state_NJ,addr_state_NM,addr_state_NV,addr_state_NY,addr_state_OH,addr_state_OK,addr_state_OR,addr_state_PA,addr_state_RI,addr_state_SC,addr_state_SD,addr_state_TN,addr_state_TX,addr_state_UT,addr_state_VA,addr_state_VT,addr_state_WA,addr_state_WI,addr_state_WV,addr_state_WY,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified
0.28205128205128205,0.0,0.43419003115264804,0.2687000231579234,0.625,0.027924088365777634,0.013719971334503495,0.04,0.2564102564102564,0.2564102564102564,9.540796179441175e-05,0.0,0.16666666666666666,0.0,0.8007566204287516,0.14285714285714285,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.10256410256410256,0.0,0.4937694704049844,0.1025896007301557,1.0,0.02530620508148598,0.034180488767487506,0.0,0.3333333333333333,0.3333333333333333,0.06284204416858587,0.0,0.26666666666666666,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.43974358974358974,1.0,0.6105919003115264,0.31385797381792424,1.0,0.012584455823510454,0.012162063915748367,0.0,0.1282051282051282,0.1282051282051282,0.03631068012625654,0.0,0.03333333333333333,0.0,0.8953341740226987,0.14285714285714285,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.6134615384615385,1.0,0.5299844236760126,0.41913116920268634,1.0,0.020361314433379525,0.029766417747681313,0.04,0.3333333333333333,0.3333333333333333,0.07578307409753345,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.28205128205128205,0.0,0.42757009345794394,0.26801209660940756,1.0,0.015125547864796219,0.03561376359274222,0.04,0.20512820512820512,0.20512820512820512,0.028105595411937127,0.0,0.06666666666666667,0.0,0.8108448928121059,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.07692307692307693,0.0,0.3130841121495327,0.0717486956640194,0.0,0.011344160898597164,0.023493243874827333,0.0,0.20512820512820512,0.20512820512820512,0.04021710611750551,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.1794871794871795,0.0,0.2990654205607477,0.16305902546009343,1.0,0.01745255522861102,0.01030296106270058,0.0,0.1282051282051282,0.1282051282051282,0.03392283086023529,0.0,0.2,0.0,1.0,0.14285714285714285,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.8717948717948718,1.0,0.18535825545171342,0.4868204171150676,0.375,0.043631388071527555,0.014062710966629621,0.0,0.6410256410256411,0.6410256410256411,0.05890381552340543,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.1794871794871795,0.0,0.11993769470404989,0.15122123990246425,0.75,0.020361314433379525,0.0014644329736298203,0.04,0.3076923076923077,0.3076923076923077,0.006042504246979411,0.0,0.0,0.0,0.6847414880201765,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.4358974358974359,0.0,0.21183800623052962,0.3794153305453009,1.0,0.007271898011921259,0.10252069420354579,0.0,0.1794871794871795,0.1794871794871795,0.11987480355235644,0.0,0.13333333333333333,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
